Median Age,Smoking history,Current drinker,Obesity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Mortality
60,0,0,0,0,41,30,16,8,11,22,5,0,0
67,0,0,0,0,23,16,7,2,3,11,4,0,0
58,0,0,0,0,20,16,8,6,8,12,2,0,0
53,0,0,0,51,30,15,0,13,0,0,6,0,0
58,0,0,0,32,15,7,0,5,0,0,2,0,0
49,0,0,0,19,15,8,0,8,0,0,4,0,0
64,0,0,0,13,9,6,6,0,0,0,0,0,0
67,0,0,0,9,8,6,5,0,0,0,0,0,0
53,0,0,0,4,1,0,1,0,0,0,0,0,0
53,10,0,0,52,23,18,8,9,7,0,0,0,0
45,1,0,0,11,5,5,2,2,0,0,0,0,0
53,4,0,0,14,6,3,4,1,3,0,0,0,0
61,5,0,0,27,12,10,2,6,4,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,23,12,7,0,0,2,0,2,0,0
45,0,0,0,10,7,3,0,0,2,0,1,0,0
68,0,0,0,13,5,4,0,0,0,0,1,0,0
39,16,0,0,0,0,18,2,1,8,0,0,0,0
49,7,0,0,0,0,0,0,0,0,0,0,0,0
39,9,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,1,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,1,0,0,0,0,0,0,0
62,19,0,0,93,47,22,19,8,11,0,3,0,0
68,9,0,0,54,24,16,11,5,5,0,5,0,1
51,10,0,0,39,23,6,6,2,6,0,2,0,0
45,6,9,0,16,6,4,5,5,0,4,1,0,0
48,5,6,0,10,3,3,1,4,0,3,1,0,0
41,1,3,0,6,3,1,4,1,0,1,0,0,0
45,0,0,0,17,9,2,0,2,0,1,1,0,0
40,0,0,0,14,5,1,0,2,0,0,0,0,0
59,0,0,0,3,4,1,0,0,0,1,1,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,90,52,90,0,8,14,23,0,0,1
48,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,122,20,0,0,0,13,75,0
63,20,0,141,197,99,54,20,23,0,0,0,0,0
65,6,0,56,70,36,25,7,10,0,0,0,0,0
62,14,0,84,127,63,29,13,13,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
